Game_ID,Half,Timestamp_s,Original_Label,Target_Class,Window_Start,Window_End
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,824,Foul,Foul,794,854
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,848,Indirect free-kick,Indirect free-kick,818,878
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,881,Shots off target,None,851,911
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,888,Corner,None,858,918
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,911,Shots off target,None,881,941
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,931,Clearance,None,901,961
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,977,Foul,Foul,947,1007
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1009,Indirect free-kick,Indirect free-kick,979,1039
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1061,Foul,Foul,1031,1091
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1071,Indirect free-kick,Indirect free-kick,1041,1101
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1083,Shots off target,None,1053,1113
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1113,Clearance,None,1083,1143
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1181,Shots on target,None,1151,1211
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1319,Foul,Foul,1289,1349
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1361,Indirect free-kick,Indirect free-kick,1331,1391
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1392,Indirect free-kick,Indirect free-kick,1362,1422
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1471,Foul,Foul,1441,1501
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1504,Indirect free-kick,Indirect free-kick,1474,1534
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1623,Foul,Foul,1593,1653
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1646,Indirect free-kick,Indirect free-kick,1616,1676
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1692,Clearance,None,1662,1722
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1768,Shots off target,None,1738,1798
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1792,Clearance,None,1762,1822
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1842,Clearance,None,1812,1872
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1881,Foul,Foul,1851,1911
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1895,Indirect free-kick,Indirect free-kick,1865,1925
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,1983,Foul,Foul,1953,2013
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2004,Indirect free-kick,Indirect free-kick,1974,2034
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2025,Foul,Foul,1995,2055
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2043,Indirect free-kick,Indirect free-kick,2013,2073
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2174,Foul,Foul,2144,2204
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2209,Clearance,None,2179,2239
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2322,Foul,Foul,2292,2352
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2442,Indirect free-kick,Indirect free-kick,2412,2472
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2504,Corner,None,2474,2534
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2509,Shots off target,None,2479,2539
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2528,Clearance,None,2498,2558
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2583,Shots off target,None,2553,2613
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2607,Clearance,None,2577,2637
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,1,2671,Foul,Foul,2641,2701
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,159,Foul,Foul,129,189
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,193,Indirect free-kick,Indirect free-kick,163,223
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,236,Corner,None,206,266
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,262,Foul,Foul,232,292
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,281,Indirect free-kick,Indirect free-kick,251,311
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,347,Foul,Foul,317,377
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,386,Direct free-kick,Direct free-kick,356,416
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,487,Foul,Foul,457,517
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,537,Indirect free-kick,Indirect free-kick,507,567
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,663,Shots off target,None,633,693
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,699,Clearance,None,669,729
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,794,Foul,Foul,764,824
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,851,Direct free-kick,Direct free-kick,821,881
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,853,Shots off target,None,823,883
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,883,Clearance,None,853,913
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1425,Shots on target,None,1395,1455
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1458,Corner,None,1428,1488
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1595,Clearance,None,1565,1625
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1621,Indirect free-kick,Indirect free-kick,1591,1651
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1634,Foul,Foul,1604,1664
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1651,Indirect free-kick,Indirect free-kick,1621,1681
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1708,Clearance,None,1678,1738
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1784,Foul,Foul,1754,1814
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1811,Indirect free-kick,Indirect free-kick,1781,1841
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1877,Shots off target,None,1847,1907
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1896,Clearance,None,1866,1926
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,1951,Shots on target,None,1921,1981
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2051,Corner,None,2021,2081
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2053,Shots on target,None,2023,2083
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2191,Foul,Foul,2161,2221
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2229,Indirect free-kick,Indirect free-kick,2199,2259
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2253,Shots off target,None,2223,2283
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2313,Clearance,None,2283,2343
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2360,Clearance,None,2330,2390
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2479,Foul,Foul,2449,2509
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2516,Indirect free-kick,Indirect free-kick,2486,2546
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,2,2588,Shots on target,None,2558,2618
