Video_File,Target_Class,Original_Action,Original_Action_En,Frame_In,Frame_Out,Duration_Frames
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],81800,82375,575
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,83775,84375,600
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],85150,85875,725
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,86850,87250,400
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,117925,118500,575
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],119850,120325,475
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,134475,135000,525
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,135550,136075,525
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul,Foul,foul,150850,151375,525
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul,Foul,foul,154375,154925,550
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,158075,158725,650
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul,Foul,foul,159400,160025,625
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul,Foul,foul,165150,165750,600
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul,Foul,foul,166150,166950,800
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],167450,170075,2625
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,172450,173275,825
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",foul,Foul,foul,180025,180475,450
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],180475,180700,225
"SOK - PGM, International HD - 1. BL 2025-2026 9. Spieltag 1. FC Köln vs. Hamburger SV-009.mp4",None,Torschuss / Torchance,shot at goal,199750,200200,450
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,20625,21200,575
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,24300,24925,625
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,28550,29100,550
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,30025,30500,475
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,33300,34100,800
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,43100,43725,625
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,49775,50225,450
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,53175,53750,575
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,62100,62700,600
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,65975,66550,575
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,68500,69750,1250
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,70125,70775,650
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,71325,72675,1350
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,76425,77250,825
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,80725,81550,825
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,84650,85925,1275
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,85975,86600,625
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,86925,87550,625
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,116600,117350,750
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,118725,119325,600
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,121000,121825,825
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Erfolgreiche Defensivaktion,defensive action,125300,125875,575
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,133425,133950,525
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,138225,138850,625
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,147925,148425,500
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,149900,150350,450
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,151650,152450,800
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,156750,157650,900
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,159375,160300,925
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,162925,163675,750
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,173975,174850,875
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,179650,180225,575
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,181775,182400,625
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",foul,Foul,foul,183050,183550,500
"SOK - PGM, International HD - 1. BL 2025-2026 24. Spieltag SV Werder Bremen vs. 1. FC Heidenheim 1846-006.mp4",None,Torschuss / Torchance,shot at goal,188375,189000,625
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,27750,27950,200
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],32900,33550,650
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,46325,46575,250
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Torschuss / Torchance,shot at goal,47875,48575,700
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Torschuss / Torchance,shot at goal,53000,53300,300
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,63025,63325,300
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,70375,70575,200
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],75325,75575,250
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,77800,78175,375
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],80275,80850,575
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,82575,82975,400
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,90700,91350,650
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Torschuss / Torchance,shot at goal,91875,92375,500
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,93675,93900,225
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Torschuss / Torchance,shot at goal,123475,123700,225
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,130550,131525,975
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,132575,133075,500
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,133450,133650,200
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,133850,134150,300
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Torschuss / Torchance,shot at goal,134350,135050,700
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,136700,137325,625
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,145550,145925,375
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Torschuss / Torchance,shot at goal,147525,148200,675
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,151650,152050,400
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Torschuss / Torchance,shot at goal,155650,156575,925
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],158975,159700,725
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Torschuss / Torchance,shot at goal,168050,168300,250
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,169400,170475,1075
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",None,Torschuss / Torchance,shot at goal,179475,179675,200
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,180800,181375,575
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,182975,183200,225
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,186050,186275,225
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,188600,189375,775
"SOK - PGM, International HD - 1. BL 2025-2026 18. Spieltag SV Werder Bremen vs. Eintracht Frankfurt-001.mp4",foul,Foul,foul,197175,197375,200
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul,Foul,foul,21450,22125,675
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Torschuss / Torchance,shot at goal,28750,29225,475
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul,Foul,foul,30300,31600,1300
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul,Foul,foul,35100,35675,575
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Torschuss / Torchance,shot at goal,41250,42075,825
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul,Foul,foul,46675,47525,850
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Torschuss / Torchance,shot at goal,49675,50125,450
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Torschuss / Torchance,shot at goal,52900,53550,650
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul,Foul,foul,53600,54600,1000
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Abseits,offside,55025,55750,725
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul [elbow check],Foul [Ellbogencheck],foul [elbow check],55850,56625,775
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],57450,58275,825
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],70375,71475,1100
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Abseits,offside,78375,78950,575
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul,Foul,foul,84575,85125,550
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Torschuss / Torchance,shot at goal,117125,117950,825
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul,Foul,foul,139075,139650,575
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul,Foul,foul,143000,143650,650
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Torschuss / Torchance,shot at goal,144400,144900,500
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],165000,165675,675
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Torschuss / Torchance,shot at goal,169525,170375,850
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",foul,Foul,foul,186300,187050,750
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Torschuss / Torchance,shot at goal,192750,193275,525
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC St. Pauli vs. Borussia Dortmund-014.mp4",None,Abseits,offside,196350,197125,775
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag FC Bayern München vs. Hamburger SV-003.mp4",foul,Foul,foul,16150,16750,600
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag FC Bayern München vs. Hamburger SV-003.mp4",None,Torschuss / Torchance,shot at goal,33825,35675,1850
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag FC Bayern München vs. Hamburger SV-003.mp4",None,Torschuss / Torchance,shot at goal,41425,44900,3475
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag FC Bayern München vs. Hamburger SV-003.mp4",foul,Foul,foul,57250,57650,400
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag FC Bayern München vs. Hamburger SV-003.mp4",None,Torschuss / Torchance,shot at goal,61275,61750,475
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag FC Bayern München vs. Hamburger SV-003.mp4",None,Torschuss / Torchance,shot at goal,120700,124250,3550
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag FC Bayern München vs. Hamburger SV-003.mp4",None,Torschuss / Torchance,shot at goal,149350,150050,700
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag FC Bayern München vs. Hamburger SV-003.mp4",None,Torschuss / Torchance,shot at goal,156425,157350,925
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag FC Bayern München vs. Hamburger SV-003.mp4",None,Torschuss / Torchance,shot at goal,184425,185000,575
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",foul,Foul,foul,23775,24675,900
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Abseits,offside,31000,31550,550
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,32450,32800,350
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Parade,save,32475,32850,375
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,36675,37200,525
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Parade,save,36700,37225,525
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,46975,47275,300
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Parade,save,47000,47275,275
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,53850,54900,1050
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Parade,save,59200,59925,725
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,59225,59925,700
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],60375,60725,350
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",foul,Foul,foul,66800,67825,1025
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],69800,70100,300
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",foul,Foul,foul,70125,71200,1075
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],73950,74000,50
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,76000,76750,750
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],82150,83025,875
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",foul,Foul,foul,88925,89450,525
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],90850,91025,175
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],92300,92725,425
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",foul,Foul,foul,96750,97050,300
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,117300,117875,575
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,119125,119600,475
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",handball,Handspiel,handball,123075,123125,50
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],126575,126975,400
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",foul,Foul,foul,128550,129100,550
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],135500,136200,700
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,138850,139350,500
